dataset,file_id,file_size_GB,file_loc,P_hateful,P_targeted,P_aggressive,file_ind
2B,2B_19,2.5129,./LAION-2Ben/laion2B-en/part-00047-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.33,0.095,0.019,laion2B-en_00047
2B,2B_20,2.5128,./LAION-2Ben/laion2B-en/part-00093-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.347,0.117,0.015,laion2B-en_00093
2B,2B_21,2.5129,./LAION-2Ben/laion2B-en/part-00095-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.333,0.118,0.022,laion2B-en_00095
2B,2B_22,2.5128,./LAION-2Ben/laion2B-en/part-00070-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.372,0.1129999999999999,0.015,laion2B-en_00070
2B,2B_23,2.5128,./LAION-2Ben/laion2B-en/part-00071-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.355,0.095,0.016,laion2B-en_00071
2B,2B_24,2.5128,./LAION-2Ben/laion2B-en/part-00097-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.372,0.122,0.025,laion2B-en_00097
2B,2B_25,2.5128,./LAION-2Ben/laion2B-en/part-00061-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.1129999999999999,0.021,laion2B-en_00061
2B,2B_26,2.5128,./LAION-2Ben/laion2B-en/part-00078-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3409999999999999,0.124,0.022,laion2B-en_00078
2B,2B_27,2.5128,./LAION-2Ben/laion2B-en/part-00088-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3229999999999999,0.106,0.015,laion2B-en_00088
2B,2B_28,2.5128,./LAION-2Ben/laion2B-en/part-00062-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.371,0.118,0.02,laion2B-en_00062
2B,2B_29,2.5128,./LAION-2Ben/laion2B-en/part-00072-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.36,0.119,0.023,laion2B-en_00072
2B,2B_30,2.5128,./LAION-2Ben/laion2B-en/part-00002-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.368,0.1129999999999999,0.013,laion2B-en_00002
2B,2B_31,2.5128,./LAION-2Ben/laion2B-en/part-00076-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.314,0.123,0.022,laion2B-en_00076
2B,2B_32,2.5127,./LAION-2Ben/laion2B-en/part-00064-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.344,0.098,0.017,laion2B-en_00064
2B,2B_33,2.5127,./LAION-2Ben/laion2B-en/part-00066-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.372,0.117,0.017,laion2B-en_00066
2B,2B_34,2.5128,./LAION-2Ben/laion2B-en/part-00027-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.335,0.09,0.019,laion2B-en_00027
2B,2B_35,2.5127,./LAION-2Ben/laion2B-en/part-00069-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.355,0.106,0.019,laion2B-en_00069
2B,2B_36,2.5127,./LAION-2Ben/laion2B-en/part-00083-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.332,0.1149999999999999,0.0279999999999999,laion2B-en_00083
2B,2B_37,2.5126,./LAION-2Ben/laion2B-en/part-00075-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.361,0.1149999999999999,0.015,laion2B-en_00075
2B,2B_38,2.5126,./LAION-2Ben/laion2B-en/part-00041-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.3399999999999999,0.102,0.01,laion2B-en_00041
2B,2B_39,2.5126,./LAION-2Ben/laion2B-en/part-00092-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.103,0.021,laion2B-en_00092
2B,2B_40,2.5126,./LAION-2Ben/laion2B-en/part-00080-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.307,0.087,0.0139999999999999,laion2B-en_00080
2B,2B_41,2.5126,./LAION-2Ben/laion2B-en/part-00082-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.359,0.122,0.02,laion2B-en_00082
2B,2B_42,2.5126,./LAION-2Ben/laion2B-en/part-00018-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.314,0.108,0.015,laion2B-en_00018
2B,2B_43,2.5126,./LAION-2Ben/laion2B-en/part-00034-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.318,0.106,0.017,laion2B-en_00034
2B,2B_44,2.5126,./LAION-2Ben/laion2B-en/part-00048-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.333,0.11,0.017,laion2B-en_00048
2B,2B_45,2.5125,./LAION-2Ben/laion2B-en/part-00001-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.322,0.09,0.018,laion2B-en_00001
2B,2B_46,2.5126,./LAION-2Ben/laion2B-en/part-00045-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.326,0.1139999999999999,0.021,laion2B-en_00045
2B,2B_47,2.5125,./LAION-2Ben/laion2B-en/part-00089-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.345,0.117,0.016,laion2B-en_00089
2B,2B_48,2.5125,./LAION-2Ben/laion2B-en/part-00091-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.365,0.105,0.017,laion2B-en_00091
2B,2B_49,2.5125,./LAION-2Ben/laion2B-en/part-00036-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.317,0.1129999999999999,0.02,laion2B-en_00036
2B,2B_50,2.5125,./LAION-2Ben/laion2B-en/part-00037-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.318,0.082,0.02,laion2B-en_00037
2B,2B_51,2.5125,./LAION-2Ben/laion2B-en/part-00000-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.356,0.124,0.022,laion2B-en_00000
2B,2B_52,2.5125,./LAION-2Ben/laion2B-en/part-00087-5114fd87-297e-42b0-9d11-50f1df323dfa-c000.snappy.parquet,0.327,0.098,0.017,laion2B-en_00087
